008475 008494
0084D0 0084D1
0084D1 0084D2
0084D2 0085D2
008649 008650
008A16 008A1D
008A1D 008A24
008A24 008A2B
008A2B 008A32
008A32 008A39
008A39 008A40
008A40 008A47
008A47 008A4E
008AB4 008ABC
008ABC 008ACD
008B57 008B58
008B58 008C89
008C89 008CFF
008D90 008D97
008D97 008D9E
008D9E 008DA5
008DA5 008DAC
008DE7 008DEE
008DEE 008DF5
008DF5 008DF9
008DF9 008DFE
008DFE 008E01
008E01 008E06
008E06 008E07
008E07 008E1A
008FFA 008FFC
008FFC 009012
0090D1 009105
009105 009139
009139 00916A
00916A 00919B
009249 009250
009277 009283
009313 009318
009318 00931D
00931D 009322
009329 00937D Ptrs009329
009389 00938D LogoDispX
00938D 009391 LogoTiles
009451 009458 CutsceneBgColor
009458 009460 CutsceneCastlePal
009460 009468
009875 00987D
009891 0098A9
009A4E 009A52
009AC8 009ACB
009B17 009B1A
009B8D 009B91 Ptrs009B8D
009C1F 009C20 IntroControlData
009C20 009C64
009CCB 009CCE
009CCE 009CD1
009E6A 009E74
009E74 009E7E
009E7E 009E82
009EE0 009EE1
009EE1 009EF0
009EF0 009F06
009F2F 009F31
009F31 009F33
009F33 009F37
009F88 009FB8
00A06B 00A079
00A079 00A087
00A1CE 00A1D2
00A1D2 00A1DA
00A47F 00A480
00A480 00A481
00A481 00A488
00A521 00A525
00A525 00A529
00A586 00A58D
00A58D 00A594
00A60D 00A611
00A611 00A61D
00A61D 00A625
00A625 00A635
00A8C3 00A92B SpriteGfxList
00A92B 00A993
00A9D2 00A9D6
00A9D6 00A9DA
00ABD3 00ABDF
00ABDF 00ABED
00AD1E 00AD25
00AE41 00AE44
00AE44 00AE47
00AE65 00AE6B
00AE6B 00AE71
00AE71 00AE77
00AE77 00AEF7
00AEF7 00AF17
00B091 00B0A0
00B0A0 00B3C0 Palettes?
00B2C8 00B2DC MarioPalette
00B2DC 00B2F0 LuigiPalette
00B2F0 00B304 FireMarioPalette
00B304 00B318 FireLuigiPalette
00B3C0 00B3CC BowserEndPalette
00B3CC 00B5DE
00B5DE 00B60C
00B60C 00B60D MorePalettes
00B60D 00B66C
00B66C 00B69E
00B69E 00B70E
00B70E 00B71A TheEndPalettes
00B71A 00B726
00B726 00B888
00B992 00B9C4
00B9C4 00B9F6
00B9F6 00BA28
00BA4D 00BA60
00BA60 00BA70
00BA70 00BA80
00BA80 00BA8E
00BA8E 00BA9C
00BA9C 00BAAC
00BAAC 00BABC
00BABC 00BACA
00BACA 00BDA8
00BDA8 00BDA9
00BDA9 00BDE8
00BDE8 00BDE9
00BDE9 00BE28
00BE28 00BE29
00BE29 00BE68
00BE68 00BE69
00BE69 00BEA8
00BEA8 00BEA9
00BEA9 00BEB0
00BFC9 00BFFF Ptrs00BFC9
00BFFF 00C005
00C005 00C00D
00C063 00C06B
00C06B 00C074 TileToGeneratePg0
00C0AA 00C0B2
00C0B2 00C0C1 TileToGeneratePg1
00C29E 00C32E FlippedGateBgTiles?
00C32E 00C330
00C330 00C334
00C453 00C470
00C470 00C474
00C474 00C478
00C478 00C47E
00C599 00C5B5 Ptrs00C599
00C5E1 00C5E8
00C5E8 00C5E9
00C5E9 00C6DF
00C6DF 00C6E7
00C7F9 00C7FD
00C848 00C870
00C9A7 00C9AF
00CB12 00CC14
00CC5C 00CC68
00CDA9 00CDAD OnYoshiAnimations
00CE79 00CE7F
00CE7F 00CE99
00CE99 00CEA1
00CEA1 00CEA9
00CEA9 00CEB1
00D034 00D03C
00D03C 00D044
00D0AE 00D0B6
00D11D 00D129
00D18D 00D18F PipeSpeedX
00D18F 00D192 PipeSpeedY
00D192 00D193
00D193 00D197
00D1FF 00D201 PipeCntrBoundryX
00D201 00D203 PipeCntringSpeed
00D2BD 00D2CD
00D2CD 00D309
00D309 00D345
00D345 00D346 MarioAccel?
00D346 00D43D MarioAccel2?
00D43D 00D535
00D535 00D5C9
00D5C9 00D5CA
00D5CA 00D5EB
00D5EB 00D5EE
00D5EE 00D5F0
00D5F0 00D5F2
00D7A5 00D7AF
00D7AF 00D7B9
00D7B9 00D7C8
00D7C8 00D7CF
00D7CF 00D7D4 CapeSpeed
00D7D4 00D7D9
00D7D9 00D7E4
00D980 00D984
00D984 00D988
00DAB7 00DABB
00DABB 00DABD
00DABD 00DACD
00DACD 00DADB
00DADB 00DADD
00DADD 00DADF
00DADF 00DAF1
00DAF1 00DB17
00DC78 00DC7C NumWalkingFrames
00DC7C 00DCEC
00DCEC 00DD32
00DD32 00DD4E
00DD4E 00DE32
00DE32 00DF16
00DF16 00DF1A TilesetIndex
